Departamento,Municipio,Operadora,Contrato,Campo,Date,Aceite
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-01-01,17661.64516
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-02-01,16542.96429
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-03-01,17067.16129
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-04-01,17207.76667
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-05-01,17934.19355
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-06-01,18587.43333
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-07-01,17410.58065
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-08-01,17367.35484
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-09-01,17474.6
ANTIOQUIA,,ECOPETROL,CASABE,CASABE,2014-10-01,16663.45161
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-01-01,4049.419355
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-02-01,4201.821429
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-03-01,4094.580645
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-04-01,3729.366667
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-05-01,3356.516129
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-06-01,3388.833333
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-07-01,3607.354839
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-08-01,3617.806452
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-09-01,3828.766667
ANTIOQUIA,,ECOPETROL,CASABE,CASABE SUR,2014-10-01,3742.354839
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-01-01,250
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-02-01,190.8571429
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-03-01,199.7419355
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-04-01,625.5666667
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-05-01,566.8387097
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-06-01,684.1333333
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-07-01,872.4193548
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-08-01,1171.096774
ANTIOQUIA,,ECOPETROL,CASABE,PEÑAS BLANCAS,2014-09-01,1397.133333
